Airline,Airline ID,Source airport,Destination airport
A3,96,JTY,LRS
A3,96,KGS,ATH
A3,96,KGS,JKL
A3,96,KGS,RHO
A3,96,KIT,ATH
A3,96,KLX,ARN
A3,96,KLX,DUS
A3,96,KLX,MUC
A3,96,KSJ,AOK
A3,96,KSJ,JSH
A3,96,KVA,ATH
A3,96,KZS,RHO
A3,96,LHR,ATH
A3,96,LRS,ATH
A3,96,LRS,JKL
A3,96,LRS,JTY
A3,96,LXS,ATH
A3,96,LYS,ATH
A3,96,MAD,ATH
A3,96,MAN,ATH
A3,96,MJT,ATH
A3,96,MJT,SKG
A3,96,MLO,ATH
A3,96,MRS,ATH
A3,96,MRS,HER
A3,96,MUC,ATH
A3,96,MUC,HER
A3,96,MUC,KLX
A3,96,MUC,SKG
A3,96,MXP,ATH
A3,96,NTE,ATH
A3,96,NUE,SKG
A3,96,OSL,ATH
A3,96,OTP,ATH
A3,96,PAS,ATH
A3,96,PRG,ATH
A3,96,RHO,AOK
A3,96,RHO,ATH
A3,96,RHO,CDG
A3,96,RHO,HER
A3,96,RHO,KGS
A3,96,RHO,KZS
A3,96,RHO,SKG
A3,96,SKG,ARN
A3,96,SKG,ATH
A3,96,SKG,CDG
A3,96,SKG,CHQ
A3,96,SKG,CPH
A3,96,SKG,DUS
A3,96,SKG,FRA
A3,96,SKG,HAJ
A3,96,SKG,HER
A3,96,SKG,MJT
A3,96,SKG,MUC
A3,96,SKG,NUE
A3,96,SKG,RHO
A3,96,SKG,STR
A3,96,SKU,ATH
A3,96,SMI,ATH
A3,96,SOF,ATH
A3,96,STR,SKG
A3,96,TIA,ATH
A3,96,TXL,ATH
A3,96,TXL,HER
A3,96,VIE,ATH
A3,96,VIE,HER
A3,96,WAW,ATH
A3,96,ZRH,LIS
A3,96,ZTH,ATH
A5,1203,AGF,DCM
A5,1203,AGF,ORY
A5,1203,AJA,BVE
A5,1203,AJA,DCM
A5,1203,AJA,PIS
A5,1203,AMS,CFE
A5,1203,AMS,SXB
A5,1203,AUR,ORY
A5,1203,BES,LYS
A5,1203,BES,NCE
A5,1203,BIA,LIL
A5,1203,BIQ,GVA
A5,1203,BIQ,LIL
A5,1203,BIQ,LYS
A5,1203,BIQ,NCE
A5,1203,BLQ,LYS
A5,1203,BOD,FCO
A5,1203,BOD,LIL
A5,1203,BOD,LYS
A5,1203,BOD,NCE
A5,1203,BOD,NTE
A5,1203,BOD,SXB
A5,1203,BRU,LYS
A5,1203,BRU,NTE
A5,1203,BVE,AJA
A5,1203,BVE,ORY
