Name,City,Country,IATA,Latitude,Longitude,Altitude,Timezone,DST
RAF Wyton,Wyton,United Kingdom,QUY,52.357200622600004,-0.107832998037,135,0,E
RAF Fairford,Fairford,United Kingdom,FFD,51.6822013855,-1.7900300025900002,286,0,E
RAF Brize Norton,Brize Norton,United Kingdom,BZZ,51.75,-1.58362,288,0,E
RAF Odiham,Odiham,United Kingdom,ODH,51.2341003418,-0.9428250193600001,405,0,E
RAF Northolt,Northolt,United Kingdom,NHT,51.5530014038,-0.418166995049,124,0,E
RAF Coningsby,Coningsby,United Kingdom,QCY,53.0929985046,-0.166014000773,25,0,E
RAF Honington,Honington,United Kingdom,BEQ,52.34260177612305,0.7729390263557434,174,0,E
RAF Scampton,Scampton,United Kingdom,SQZ,53.307800293,-0.550832986832,202,0,E
RAF Linton-On-Ouse,Linton-on-ouse,United Kingdom,HRT,54.0489006042,-1.2527500391,53,0,E
RAF Waddington,Waddington,United Kingdom,WTN,53.1661987305,-0.5238109827040001,231,0,E
RAF Marham,Marham,United Kingdom,KNF,52.648394999999994,0.550692,75,0,E
Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,52.308601,4.76389,-11,1,E
Maastricht Aachen Airport,Maastricht,Netherlands,MST,50.911701,5.7701400000000005,375,1,E
Eindhoven Airport,Eindhoven,Netherlands,EIN,51.4500999451,5.374529838559999,74,1,E
Eelde Airport,Groningen,Netherlands,GRQ,53.1197013855,6.579440116880001,17,1,E
Gilze Rijen Air Base,Gilze-rijen,Netherlands,GLZ,51.56740188598633,4.931829929351807,49,1,E
De Kooy Airport,De Kooy,Netherlands,DHR,52.92340087890625,4.780620098114014,3,1,E
Lelystad Airport,Lelystad,Netherlands,LEY,52.4603,5.52722,-13,1,E
Leeuwarden Air Base,Leeuwarden,Netherlands,LWR,53.228599548339844,5.760560035705566,3,1,E
Rotterdam The Hague Airport,Rotterdam,Netherlands,RTM,51.956902,4.43722,-15,1,E
Soesterberg Air Base,Soesterberg,Netherlands,UTC,52.1273002625,5.27618980408,66,1,E
Twente Airport,Enschede,Netherlands,ENS,52.275833,6.889167,114,1,E
Valkenburg Naval Air Base,Valkenburg,Netherlands,LID,52.1660995483,4.41794013977,1,1,E
Woensdrecht Air Base,Woensdrecht,Netherlands,WOE,51.4491,4.34203,63,1,E
Cork Airport,Cork,Ireland,ORK,51.84130096435547,-8.491109848022461,502,0,E
Galway Airport,Galway,Ireland,GWY,53.30020141601562,-8.941590309143066,81,0,E
Dublin Airport,Dublin,Ireland,DUB,53.421299,-6.27007,242,0,E
Ireland West Knock Airport,Connaught,Ireland,NOC,53.9103012084961,-8.818490028381348,665,0,E
Kerry Airport,Kerry,Ireland,KIR,52.18090057373047,-9.52377986907959,112,0,E
Shannon Airport,Shannon,Ireland,SNN,52.702,-8.92482,46,0,E
Sligo Airport,Sligo,Ireland,SXL,54.280200958252,-8.599209785461401,11,0,E
Waterford Airport,Waterford,Ireland,WAT,52.18719863891602,-7.086959838867188,119,0,E
Aarhus Airport,Aarhus,Denmark,AAR,56.2999992371,10.619000434899998,82,1,E
Billund Airport,Billund,Denmark,BLL,55.7402992249,9.15178012848,247,1,E
Copenhagen Kastrup Airport,Copenhagen,Denmark,CPH,55.617900848389,12.656000137328999,17,1,E
Esbjerg Airport,Esbjerg,Denmark,EBJ,55.525902,8.5534,97,1,E
Karup Airport,Karup,Denmark,KRP,56.29750061035156,9.124629974365234,170,1,E
Læsø Airport,Laeso,Denmark,BYR,57.277198791503906,11.000100135803224,25,1,E
Lolland Falster Maribo Airport,Maribo,Denmark,MRW,54.699298999999996,11.4401,16,1,E
Odense Airport,Odense,Denmark,ODE,55.47669982910156,10.330900192260742,56,1,E
Copenhagen Roskilde Airport,Copenhagen,Denmark,RKE,55.58560180664063,12.131400108337402,146,1,E
Bornholm Airport,Ronne,Denmark,RNN,55.06330108642578,14.759599685668945,52,1,E
Sønderborg Airport,Soenderborg,Denmark,SGD,54.96440124511719,9.791729927062988,24,1,E
Skrydstrup Air Base,Skrydstrup,Denmark,SKS,55.221047999999996,9.26702,141,1,E
Skive Airport,Skive,Denmark,SQW,56.55020141601562,9.172980308532717,74,1,E
Thisted Airport,Thisted,Denmark,TED,57.06880187988281,8.705220222473145,23,1,E
Stauning Airport,Stauning,Denmark,STA,55.9901008605957,8.353910446166992,17,1,E
Aalborg Airport,Aalborg,Denmark,AAL,57.092758913800004,9.84924316406,10,1,E
Luxembourg-Findel International Airport,Luxemburg,Luxembourg,LUX,49.6233333,6.204444400000001,1234,1,E
Ålesund Airport,Alesund,Norway,AES,62.5625,6.119699954986572,69,1,E
Andøya Airport,Andoya,Norway,ANX,69.292503356934,16.144199371338,43,1,E
Alta Airport,Alta,Norway,ALF,69.976097106934,23.371700286865,9,1,E
Brønnøysund Airport,Bronnoysund,Norway,BNN,65.461097717285,12.217499732971001,25,1,E
Bodø Airport,Bodo,Norway,BOO,67.26920318603516,14.365300178527832,42,1,E
Bergen Airport Flesland,Bergen,Norway,BGO,60.29339981,5.218140125,170,1,E
Båtsfjord Airport,Batsfjord,Norway,BJF,70.60050201416,29.691400527954002,490,1,E
Kristiansand Airport,Kristiansand,Norway,KRS,58.204201,8.08537,57,1,E
Geilo Airport Dagali,Geilo,Norway,DLD,60.41730117797852,8.518349647521973,2618,1,E
Bardufoss Airport,Bardufoss,Norway,BDU,69.055801391602,18.540399551392,252,1,E
"Harstad/Narvik Airport, Evenes",Harstad/Narvik,Norway,EVE,68.491302490234,16.678100585938,84,1,E
Leirin Airport,Fagernes,Norway,VDB,61.015598297119,9.2880601882935,2697,1,E
Florø Airport,Floro,Norway,FRO,61.583599090576,5.0247201919556,37,1,E
Oslo Lufthavn,Oslo,Norway,OSL,60.121,11.0502,681,1,E
Haugesund Airport,Haugesund,Norway,HAU,59.34529876709001,5.208360195159901,86,1,E
Hasvik Airport,Hasvik,Norway,HAA,70.486701965332,22.139699935913,21,1,E
Kristiansund Airport (Kvernberget),Kristiansund,Norway,KSU,63.111801147461,7.8245201110839995,204,1,E
Kirkenes Airport (Høybuktmoen),Kirkenes,Norway,KKN,69.725799560547,29.891300201416,283,1,E
Lista Airport,Farsund,Norway,FAN,58.0994987487793,6.626049995422362,29,1,E
Molde Airport,Molde,Norway,MOL,62.744701385498,7.262499809265099,10,1,E
Mosjøen Airport (Kjærstad),Mosjoen,Norway,MJF,65.78399658203101,13.214900016785,237,1,E
Banak Airport,Lakselv,Norway,LKL,70.068801879883,24.973499298095998,25,1,E
Notodden Airport,Notodden,Norway,NTB,59.565701000000004,9.21222,63,1,E
Ørland Airport,Orland,Norway,OLA,63.69889831542969,9.604000091552734,28,1,E
Røros Airport,Roros,Norway,RRS,62.578399658203004,11.342300415039,2054,1,E
"Moss Airport, Rygge",Rygge,Norway,RYG,59.378817000000005,10.785439,174,1,E
Skien Airport,Skien,Norway,SKE,59.18500137329102,9.566940307617188,463,1,E
Stord Airport,Stord,Norway,SRP,59.79190063476562,5.340849876403809,160,1,E
Sandnessjøen Airport (Stokka),Sandnessjoen,Norway,SSJ,65.95680236816399,12.468899726868,56,1,E
"Tromsø Airport,",Tromso,Norway,TOS,69.68329620361328,18.91889953613281,31,1,E
"Sandefjord Airport, Torp",Sandefjord,Norway,TRF,59.1866989136,10.258600235,286,1,E
Trondheim Airport Værnes,Trondheim,Norway,TRD,63.45780179999999,10.9239998,56,1,E
Stavanger Airport Sola,Stavanger,Norway,SVG,58.876701354,5.637780189500001,29,1,E
Gdańsk Lech Wałęsa Airport,Gdansk,Poland,GDN,54.377601623535156,18.46619987487793,489,1,E
Kraków John Paul II International Airport,Krakow,Poland,KRK,50.077702,19.7848,791,1,E
Katowice International Airport,Katowice,Poland,KTW,50.4743,19.08,995,1,E
Poznań-Ławica Airport,Poznan,Poland,POZ,52.4210014343,16.8262996674,308,1,E
Rzeszów-Jasionka Airport,Rzeszow,Poland,RZE,50.1100006104,22.018999099699997,675,1,E
"Szczecin-Goleniów ""Solidarność"" Airport",Szczecin,Poland,SZZ,53.584701538100006,14.902199745199999,154,1,E
Redzikowo Air Base,Slupsk,Poland,OSP,54.47890090942383,17.107500076293945,217,1,E
Warsaw Chopin Airport,Warsaw,Poland,WAW,52.1656990051,20.9671001434,362,1,E
Copernicus Wrocław Airport,Wroclaw,Poland,WRO,51.10269927979999,16.885799408,404,1,E
Zielona Góra-Babimost Airport,Zielona Gora,Poland,IEG,52.1385002136,15.7986001968,194,1,E
Ronneby Airport,Ronneby,Sweden,RNB,56.266700744629,15.265000343322999,191,1,E
Gothenburg-Landvetter Airport,Gothenborg,Sweden,GOT,57.662799835205,12.279800415039,506,1,E
Jönköping Airport,Joenkoeping,Sweden,JKG,57.75759887695313,14.068699836730955,741,1,E
Lidköping-Hovby Airport,Lidkoping,Sweden,LDK,58.4655,13.1744,200,1,E
Gothenburg City Airport,Gothenborg,Sweden,GSE,57.7747,11.8704,59,1,E
Skövde Airport,Skovde,Sweden,KVB,58.45640182495117,13.972700119018555,324,1,E
Trollhättan-Vänersborg Airport,Trollhattan,Sweden,THN,58.31809997558594,12.345000267028807,137,1,E
Karlskoga Airport,Karlskoga,Sweden,KSK,59.34590148925781,14.49590015411377,400,1,E
Mora Airport,Mora,Sweden,MXX,60.957901,14.5114,634,1,E
Stockholm Skavsta Airport,Stockholm,Sweden,NYO,58.78860092163086,16.912200927734375,140,1,E
Kristianstad Airport,Kristianstad,Sweden,KID,55.92169952392578,14.08549976348877,76,1,E
Oskarshamn Airport,Oskarshamn,Sweden,OSK,57.350497999999995,16.497999,96,1,E
Kalmar Airport,Kalkmar,Sweden,KLR,56.68550109863281,16.287599563598633,17,1,E
Malmö Sturup Airport,Malmoe,Sweden,MMX,55.53630536399999,13.3761978149,236,1,E
Halmstad Airport,Halmstad,Sweden,HAD,56.69110107421875,12.820199966430664,101,1,E
Växjö Kronoberg Airport,Vaxjo,Sweden,VXO,56.929100036621094,14.727999687194824,610,1,E
Sveg Airport,Sveg,Sweden,EVG,62.04779815673828,14.422900199890135,1178,1,E
Gällivare Airport,Gallivare,Sweden,GEV,67.13240051269531,20.814599990844727,1027,1,E
Hudiksvall Airport,Hudiksvall,Sweden,HUV,61.7681007385,17.0806999207,95,1,E
Kramfors Sollefteå Airport,Kramfors,Sweden,KRF,63.04859924316406,17.76889991760254,34,1,E
Lycksele Airport,Lycksele,Sweden,LYC,64.54830169677734,18.71619987487793,705,1,E
Sundsvall-Härnösand Airport,Sundsvall,Sweden,SDL,62.528099060058594,17.443899154663086,16,1,E
Örnsköldsvik Airport,Ornskoldsvik,Sweden,OER,63.40829849243164,18.989999771118164,354,1,E
Kiruna Airport,Kiruna,Sweden,KRN,67.821998596191,20.336799621582,1508,1,E
Skellefteå Airport,Skelleftea,Sweden,SFT,64.62480163574219,21.076900482177734,157,1,E
Umeå Airport,Umea,Sweden,UME,63.791801452636996,20.282800674438,24,1,E
Vilhelmina Airport,Vilhelmina,Sweden,VHM,64.5791015625,16.833599090576172,1140,1,E
Arvidsjaur Airport,Arvidsjaur,Sweden,AJR,65.59030151367189,19.28190040588379,1245,1,E
Örebro Airport,Orebro,Sweden,ORB,59.22370147705078,15.038000106811525,188,1,E
Stockholm Västerås Airport,Vasteras,Sweden,VST,59.58940124511719,16.633600234985348,21,1,E
Luleå Airport,Lulea,Sweden,LLA,65.543800354004,22.121999740601,65,1,E
Stockholm-Arlanda Airport,Stockholm,Sweden,ARN,59.651901245116996,17.918600082397,137,1,E
Stockholm-Bromma Airport,Stockholm,Sweden,BMA,59.35440063476562,17.941699981689453,47,1,E
Borlange Airport,Borlange,Sweden,BLE,60.42200088500977,15.515199661254885,503,1,E
