Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude,Distance
FR,4296,STN,548,PUY,1203,,0,738,51.8849983215,0.234999999404,44.89350128173828,13.922200202941896,1271.6268783122728
FR,4296,STN,548,RDZ,1289,,0,738,51.8849983215,0.234999999404,44.407901763916016,2.4826700687408447,847.862602421943
FR,4296,STN,548,REU,1236,,0,738,51.8849983215,0.234999999404,41.14739990234375,1.1671700477600098,1196.068105053869
FR,4296,STN,548,RHO,1472,,0,738,51.8849983215,0.234999999404,36.40539932250977,28.086200714111328,2781.7913586338777
FR,4296,STN,548,RIX,3953,,0,738,51.8849983215,0.234999999404,56.92359924316406,23.971099853515625,1625.1896237122646
FR,4296,STN,548,RYG,657,,0,738,51.8849983215,0.234999999404,59.378817000000005,10.785439,1061.8132465678068
FR,4296,STN,548,RZE,675,,0,738,51.8849983215,0.234999999404,50.1100006104,22.018999099699997,1531.328030320247
FR,4296,STN,548,SCQ,1243,,0,738,51.8849983215,0.234999999404,42.89630126953125,-8.415140151977539,1191.059308467632
FR,4296,STN,548,SDR,1251,,0,738,51.8849983215,0.234999999404,43.427101135253906,-3.82000994682312,987.8975885488544
FR,4296,STN,548,SFT,726,,0,738,51.8849983215,0.234999999404,64.62480163574219,21.076900482177734,1851.388527446855
FR,4296,STN,548,SKG,1486,,0,738,51.8849983215,0.234999999404,40.51969909667969,22.97089958190918,2143.5586209483236
FR,4296,STN,548,SNN,603,,0,738,51.8849983215,0.234999999404,52.702,-8.92482,629.0940577749975
FR,4296,STN,548,SUF,1508,,0,738,51.8849983215,0.234999999404,38.905399,16.2423,1900.7152962921036
FR,4296,STN,548,SVQ,1253,,0,738,51.8849983215,0.234999999404,37.41799926757813,-5.8931097984313965,1678.6093364098801
FR,4296,STN,548,SXB,1435,,0,738,51.8849983215,0.234999999404,48.53829956054688,7.628230094909668,643.9096185753643
FR,4296,STN,548,SXF,337,,0,738,51.8849983215,0.234999999404,52.380001,13.5225,907.3321013776789
FR,4296,STN,548,SZG,1612,,0,738,51.8849983215,0.234999999404,47.7933006287,13.0043001175,1020.62849492068
FR,4296,STN,548,SZZ,676,,0,738,51.8849983215,0.234999999404,53.584701538100006,14.9021997452,1003.550936824904
FR,4296,STN,548,TGD,1741,,0,738,51.8849983215,0.234999999404,42.359402,19.2519,1777.7949049554736
FR,4296,STN,548,TLL,415,,0,738,51.8849983215,0.234999999404,59.41329956049999,24.8327999115,1741.3624246663105
FR,4296,STN,548,TLN,1438,,0,738,51.8849983215,0.234999999404,43.0973014832,6.14602994919,1072.4730196599687
FR,4296,STN,548,TMP,458,,0,738,51.8849983215,0.234999999404,61.414100646973,23.604400634766,1762.5733799805723
FR,4296,STN,548,TRF,664,,0,738,51.8849983215,0.234999999404,59.1866989136,10.258600235,1025.8457321138596
FR,4296,STN,548,TRN,1526,,0,738,51.8849983215,0.234999999404,45.200802,7.64963,921.1385657468267
FR,4296,STN,548,TRS,1545,,0,738,51.8849983215,0.234999999404,45.827499,13.4722,1176.8157060360752
FR,4296,STN,548,TSF,1539,,0,738,51.8849983215,0.234999999404,45.648399,12.1944,1115.30432588937
FR,4296,STN,548,TUF,1376,,0,738,51.8849983215,0.234999999404,47.4322013855,0.727605998516,496.3931701623388
FR,4296,STN,548,VLC,1246,,0,738,51.8849983215,0.234999999404,39.4893,-0.481625,1379.4441474317562
FR,4296,STN,548,VNO,3959,,0,738,51.8849983215,0.234999999404,54.634102,25.285801,1684.6517994854928
FR,4296,STN,548,VST,733,,0,738,51.8849983215,0.234999999404,59.58940124511719,16.633600234985348,1330.7994798770326
FR,4296,STN,548,WMI,8414,,0,738,51.8849983215,0.234999999404,52.451099,20.6518,1389.2290033094903
FR,4296,STN,548,WRO,680,,0,738,51.8849983215,0.234999999404,51.10269927979999,16.885799408,1153.4744547288415
