Source airport,Destination airport
MUC,MAH
MUC,MJT
MUC,NAP
MUC,OLB
MUC,PMI
MUC,PVK
MUC,RHO
MUC,RIX
MUC,SAW
MUC,SKG
MUC,SMI
MUC,TXL
MUC,VIE
MUC,ZTH
MXP,DUS
MXP,TXL
MXP,VIE
NAP,DUS
NAP,MUC
NAP,STR
NAP,TXL
NAP,ZRH
NCE,DUS
NCE,VIE
NUE,AYT
NUE,DUS
NUE,HAM
NUE,HER
NUE,IBZ
NUE,KGS
NUE,OLB
NUE,PMI
NUE,RHO
NUE,SAW
NUE,SKG
NUE,SMI
NUE,SPU
NUE,TXL
NUE,VIE
OLB,CGN
OLB,DUS
OLB,HAM
OLB,MUC
OLB,NUE
OLB,STR
OLB,TXL
OLB,VIE
OLB,ZRH
ORY,LHR
ORY,TXL
OSL,TXL
OTP,TXL
PAD,AYT
PAD,IBZ
PAD,PMI
PMI,AGP
PMI,ALC
PMI,BIO
PMI,BRE
PMI,BSL
PMI,CGN
PMI,CPH
PMI,DRS
PMI,DTM
PMI,DUS
PMI,FAO
PMI,FDH
PMI,FKB
PMI,FMO
PMI,FRA
PMI,GRZ
PMI,HAJ
PMI,HAM
PMI,IBZ
PMI,INN
PMI,LEI
PMI,LEJ
PMI,LNZ
PMI,MAH
PMI,MUC
PMI,NUE
PMI,PAD
PMI,SCN
PMI,STR
PMI,SVQ
PMI,SZG
PMI,TXL
PMI,VIE
PMI,VLC
PMI,XRY
PMI,ZRH
PVK,DUS
PVK,MUC
PVK,VIE
RHO,DRS
RHO,DUS
RHO,MUC
RHO,NUE
RHO,TXL
RHO,VIE
RIX,DUS
RIX,FRA
RIX,HAM
RIX,MUC
RIX,TXL
SAW,CGN
SAW,DUS
SAW,MUC
SAW,NUE
SAW,STR
SAW,SXF
SCN,PMI
SCN,TXL
SKG,DUS
SKG,HAM
SKG,MUC
SKG,NUE
SKG,STR
SKG,TXL
SKG,VIE
SMI,DUS
SMI,MUC
SMI,NUE
SMI,TXL
SOF,TXL
SPU,NUE
STN,DUS
STR,AGP
STR,ALC
STR,AYT
STR,BEG
STR,CTA
STR,DUS
STR,FLR
STR,GWT
STR,HAJ
STR,HAM
STR,IBZ
STR,JER
STR,LHR
STR,NAP
STR,OLB
STR,PMI
STR,SAW
STR,SKG
STR,TXL
STR,VCE
SUF,ZRH
SVQ,PMI
SXF,SAW
SZG,CLY
SZG,DUS
SZG,HAM
SZG,HER
SZG,LGW
SZG,PMI
SZG,TXL
SZG,VIE
TXL,AGP
TXL,ALC
TXL,ARN
TXL,AYT
TXL,BCN
TXL,BEG
TXL,BRI
TXL,BUD
TXL,CFU
TXL,CGN
TXL,CPH
TXL,CTA
TXL,DUS
TXL,FAO
TXL,FCO
TXL,FKB
TXL,FNC
TXL,FRA
TXL,GDN
TXL,GOT
TXL,GRZ
TXL,GWT
TXL,HEL
TXL,HER
TXL,IBZ
TXL,KGS
TXL,KRK
TXL,LHR
TXL,MAD
TXL,MAH
TXL,MUC
TXL,MXP
TXL,NAP
TXL,NUE
TXL,OLB
TXL,ORY
TXL,OSL
TXL,OTP
TXL,PMI
TXL,RHO
TXL,RIX
TXL,SCN
TXL,SKG
TXL,SMI
TXL,SOF
TXL,STR
TXL,SZG
TXL,VCE
TXL,VIE
TXL,WAW
TXL,ZRH
VCE,DUS
VCE,STR
VCE,TXL
VIE,AGP
VIE,ARN
VIE,BCN
VIE,CDG
VIE,CFU
VIE,CHQ
VIE,CPH
VIE,DUS
VIE,FCO
VIE,FLR
VIE,FNC
VIE,FRA
VIE,HAJ
VIE,HAM
VIE,HEL
VIE,HER
VIE,JMK
VIE,JTR
VIE,KLX
VIE,LHR
VIE,MAD
VIE,MLA
VIE,MUC
